> -L"RMT"
-125.999281 57.752147
-125.953522 57.710778
-125.870511 57.650387
-125.798931 57.580939
-125.710900 57.505439
-125.620307 57.422512
-125.549623 57.352909
-125.492812 57.281709
-125.436130 57.210256
-125.366184 57.140547
-125.274398 57.049977
-125.180174 56.951736
-125.078172 56.869971
-124.971037 56.773122
-124.848317 56.670288
-124.686037 56.533099
-124.527057 56.402908
-124.332215 56.245790
-124.120088 56.074560
-123.894233 55.897170
-123.683485 55.717768
-123.495345 55.559095
-123.333596 55.436361
-123.168244 55.298564
-123.039459 55.187620
-122.928966 55.090559
-122.823454 55.008265
-122.720572 54.933308
-122.633210 54.864672
-122.563728 54.809557
-122.498408 54.769542
-122.431475 54.722018
-122.334342 54.661836
-122.224683 54.602790
-122.126016 54.534777
-122.014573 54.468131
-121.891121 54.402530
-121.750895 54.322870
>
-121.767797 54.090078
-121.706376 54.057089
-121.601191 54.004930
-121.481335 53.946397
-121.347306 53.881404
-121.186578 53.810782
-121.026077 53.740200
-120.867867 53.676637
-120.708815 53.605594
-120.549875 53.534141
-120.377270 53.456020
-120.191157 53.371171
-120.018226 53.284826
-119.860104 53.204972
-119.732583 53.145651
-119.658641 53.097616
-119.616297 53.077782
-119.588327 53.064460
-119.572456 53.050458
-119.544518 53.037126
-119.502291 53.017255
-119.445813 52.990826
-119.364583 52.965960
-119.282009 52.933779
-119.187143 52.902203
-119.064422 52.857350
>
-119.222171 52.823115
-119.134092 52.760446
-119.041934 52.675038
-118.950148 52.589556
-118.845033 52.497148
-118.729171 52.413220
-118.627746 52.336045
-118.541551 52.272949
-118.444732 52.218082
-118.346499 52.155672
-118.234181 52.078729
-118.097294 52.003492
-117.962436 51.935336
-117.826850 51.859757
-117.678089 51.777043
-117.516669 51.687122
-117.367991 51.596516
-117.233392 51.512523
-117.100370 51.435878
-116.978759 51.350930
-116.857623 51.265858
-116.737976 51.188388
-116.617759 51.103068
-116.522736 51.023937
-116.442177 50.959349
-116.360939 50.887212
-116.279039 50.807289
-116.185620 50.727879
-116.117023 50.655015
-116.061648 50.589056
-116.005589 50.515571
-115.948496 50.434357
-115.890314 50.338111
-115.856583 50.248291
-115.823343 50.158460
-115.790686 50.076142
-115.771753 50.008512
-115.754142 49.956118
-115.738508 49.918700
-115.735315 49.888494
-115.719720 49.851077
-115.703016 49.806180
-115.675126 49.761771
-115.646942 49.717376
-115.618045 49.665484
-115.566129 49.614350
-115.512832 49.548205
-115.421541 49.453316
-115.317349 49.336111
-115.189417 49.212041
-115.087043 49.102146
-115.021961 49.021063
